scenario,join_field,pred_const,inlj_time_ms,hj_time_ms
exceeds-cache,unique,4,165.661716625,428.0827485
exceeds-cache,unique,16,165.10022637499998,452.84175975
exceeds-cache,unique,64,167.59912125,443.173171625
exceeds-cache,unique,256,178.13537975,428.0972945
exceeds-cache,unique,1024,216.7306185,447.482656875
exceeds-cache,unique,4096,330.861309375,465.539521125
exceeds-cache,unique,16384,696.5312428750001,532.418886125
exceeds-cache,unique,65536,1233.9627138750002,1110.045705
exceeds-cache,uniform_64k,4,173.912256,445.602987375
exceeds-cache,uniform_64k,16,167.453076625,438.45105550000005
exceeds-cache,uniform_64k,64,186.66581724999998,448.62409912500004
exceeds-cache,uniform_64k,256,205.05706575,469.15210525
exceeds-cache,uniform_64k,1024,239.966368875,493.236716875
exceeds-cache,uniform_64k,4096,347.041614375,509.2933885
exceeds-cache,uniform_64k,16384,787.28923325,568.00541125
exceeds-cache,uniform_64k,65536,2176.9837899999998,1170.0935316250002
exceeds-cache,uniform_4k,4,168.46107412499998,456.566575875
exceeds-cache,uniform_4k,16,179.10513175,444.01221687500004
exceeds-cache,uniform_4k,64,237.726100125,457.7922965
exceeds-cache,uniform_4k,256,321.071605,455.50918950000005
exceeds-cache,uniform_4k,1024,640.81866875,526.944004125
exceeds-cache,uniform_4k,4096,1553.766392,571.379679
exceeds-cache,uniform_4k,16384,5373.651936,904.8925382499999
exceeds-cache,uniform_4k,65536,,
exceeds-cache,uniform_256,4,214.9382595,449.54066625
exceeds-cache,uniform_256,16,301.32361475,465.13561274999995
exceeds-cache,uniform_256,64,602.347274125,474.7961965
exceeds-cache,uniform_256,256,1499.973988875,582.1033542499999
exceeds-cache,uniform_256,1024,4710.409225125,834.4818871250001
exceeds-cache,uniform_256,4096,,
exceeds-cache,uniform_256,16384,,
exceeds-cache,uniform_256,65536,,
exceeds-cache,uniform_16,4,521.6245061249999,488.09808625
exceeds-cache,uniform_16,16,1325.838789125,535.751884875
exceeds-cache,uniform_16,64,4079.3474405,729.768161125
exceeds-cache,uniform_16,256,,
exceeds-cache,uniform_16,1024,,
exceeds-cache,uniform_16,4096,,
exceeds-cache,uniform_16,16384,,
exceeds-cache,uniform_16,65536,,
