scenario,join_field,pred_const,inlj_time_ms,hj_time_ms
in-cache,unique,4,67.15805775,148.084675
in-cache,unique,16,69.46840087500001,141.790565875
in-cache,unique,64,68.90897774999999,149.18278462499998
in-cache,unique,256,71.25593037499999,149.51949962499998
in-cache,unique,1024,81.088658125,149.734987
in-cache,unique,4096,116.04041125,161.251290625
in-cache,unique,16384,215.755511875,197.78077037499997
in-cache,unique,65536,575.5503296249999,327.38300725
in-cache,uniform_64k,4,72.8552035,155.01232737499998
in-cache,uniform_64k,16,73.05277537500001,155.322445125
in-cache,uniform_64k,64,74.12192875,156.12742075
in-cache,uniform_64k,256,78.55403437499999,165.06622112500003
in-cache,uniform_64k,1024,91.86676012500001,170.605571875
in-cache,uniform_64k,4096,134.783234,171.320226875
in-cache,uniform_64k,16384,282.262926,219.589746
in-cache,uniform_64k,65536,1013.861590875,457.96128687500004
in-cache,uniform_4k,4,72.92020062499999,156.944079
in-cache,uniform_4k,16,74.806078375,152.61478449999998
in-cache,uniform_4k,64,80.65922137499999,156.53804100000002
in-cache,uniform_4k,256,102.98756825,162.806606375
in-cache,uniform_4k,1024,216.43267475,178.80962662500002
in-cache,uniform_4k,4096,627.6588336249999,258.16745012499996
in-cache,uniform_4k,16384,1837.637669875,531.3877255
in-cache,uniform_4k,65536,,
in-cache,uniform_256,4,76.61349175000001,156.869533375
in-cache,uniform_256,16,98.13971012500001,160.996855875
in-cache,uniform_256,64,170.5672585,176.58256125
in-cache,uniform_256,256,413.82171174999996,236.95581225
in-cache,uniform_256,1024,2011.389676125,395.701794
in-cache,uniform_256,4096,,
in-cache,uniform_256,16384,,
in-cache,uniform_256,65536,,
in-cache,uniform_16,4,173.856405,166.60269649999998
in-cache,uniform_16,16,468.07419074999996,225.05259625000002
in-cache,uniform_16,64,1728.4676854999998,478.784585625
in-cache,uniform_16,256,,
in-cache,uniform_16,1024,,
in-cache,uniform_16,4096,,
in-cache,uniform_16,16384,,
in-cache,uniform_16,65536,,
