# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 8.0.0
# Generated: 2015-05-17, 03:09:04 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Armenian: [ه٥ھہە۵ۿ]; [օ]

0647          ; Arab; Armn; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Armn; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Armn; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Armn; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Armn; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Armn; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Armn; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Cyrillic: [ه٥ھہە۵ۿ]; [оө]

0647          ; Arab; Cyrl; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Cyrl; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Cyrl; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Cyrl; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Cyrl; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Cyrl; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Cyrl; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Devanagari: [ه٥٩ھہە۵۹ۿ]; [०१]

0647          ; Arab; Deva; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Deva; L #      (٥)  ARABIC-INDIC DIGIT FIVE
0669          ; Arab; Deva; L #      (٩)  ARABIC-INDIC DIGIT NINE
06BE          ; Arab; Deva; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Deva; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Deva; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Deva; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06F9          ; Arab; Deva; L #      (۹)  EXTENDED ARABIC-INDIC DIGIT NINE
06FF          ; Arab; Deva; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 9

# Arabic; Georgian: [ه٥ھہە۵ۿ]; [ჿ]

0647          ; Arab; Geor; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Geor; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Geor; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Geor; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Geor; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Geor; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Geor; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Greek: [ه٥ھہە۵ۿ]; [οσ]

0647          ; Arab; Grek; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Grek; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Grek; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Grek; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Grek; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Grek; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Grek; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Gujarati: [ه٥ھہە۵ۿ]; [૦]

0647          ; Arab; Gujr; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Gujr; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Gujr; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Gujr; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Gujr; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Gujr; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Gujr; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Gurmukhi: [ه٥ھہە۵ۿ]; [੦]

0647          ; Arab; Guru; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Guru; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Guru; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Guru; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Guru; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Guru; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Guru; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Hebrew: [إاه١٥ھہە۱۵ۿ]; [ויןסױ]

0625          ; Arab; Hebr; L #      (إ)  ARABIC LETTER ALEF WITH HAMZA BELOW
0627          ; Arab; Hebr; L #      (ا)  ARABIC LETTER ALEF
0647          ; Arab; Hebr; L #      (ه)  ARABIC LETTER HEH
0661          ; Arab; Hebr; L #      (١)  ARABIC-INDIC DIGIT ONE
0665          ; Arab; Hebr; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Hebr; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Hebr; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Hebr; L #      (ە)  ARABIC LETTER AE
06F1          ; Arab; Hebr; L #      (۱)  EXTENDED ARABIC-INDIC DIGIT ONE
06F5          ; Arab; Hebr; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Hebr; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 11

# Arabic; Kannada: [ه٥ھہە۵ۿ]; [ಂ೦]

0647          ; Arab; Knda; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Knda; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Knda; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Knda; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Knda; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Knda; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Knda; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Lao: [ه٥ھہە۵ۿ]; [໐]

0647          ; Arab; Laoo; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Laoo; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Laoo; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Laoo; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Laoo; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Laoo; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Laoo; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Latin: [إاةه١٥ھہۃە۱۵ۿ]; [loöøłơ]

0625          ; Arab; Latn; L #      (إ)  ARABIC LETTER ALEF WITH HAMZA BELOW
0627          ; Arab; Latn; L #      (ا)  ARABIC LETTER ALEF
0629          ; Arab; Latn; L #      (ة)  ARABIC LETTER TEH MARBUTA
0647          ; Arab; Latn; L #      (ه)  ARABIC LETTER HEH
0661          ; Arab; Latn; L #      (١)  ARABIC-INDIC DIGIT ONE
0665          ; Arab; Latn; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Latn; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Latn; L #      (ہ)  ARABIC LETTER HEH GOAL
06C3          ; Arab; Latn; L #      (ۃ)  ARABIC LETTER TEH MARBUTA GOAL
06D5          ; Arab; Latn; L #      (ە)  ARABIC LETTER AE
06F1          ; Arab; Latn; L #      (۱)  EXTENDED ARABIC-INDIC DIGIT ONE
06F5          ; Arab; Latn; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Latn; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 13

# Arabic; Malayalam: [ه٥ھہە۵ۿ]; [ം൦]

0647          ; Arab; Mlym; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Mlym; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Mlym; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Mlym; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Mlym; L #      (ە)  ARABIC LETTER AE
